topic,word_count,study_times,total_time_mins,gap_days,confidence,quiz_score,days_since_last,burn_rate_days
Computer Networks,3722,6,70,1,2,87,22,5
English,992,12,307,11,8,49,1,9
Geography,2126,5,427,5,3,81,13,8
Science,4334,7,346,14,1,53,9,1
Pharmacology,4775,13,204,10,6,70,23,2
Social Studies,1018,5,307,9,7,68,23,3
Physiology,3068,13,234,14,6,86,30,1
Cost Accounting,3223,3,52,5,4,32,9,7
DBMS,1744,14,47,13,8,98,14,3
Financial Accounting,427,5,389,12,6,92,6,8
Chemistry,2634,3,85,4,4,54,24,3
Compiler Design,4524,7,337,11,4,42,4,7
Operating Systems,4026,9,115,7,8,69,1,14
Hindi,1092,11,367,2,2,48,9,8
Auditing,4750,12,339,13,10,42,13,7
Science,3386,7,423,3,4,71,15,10
Data Structures,2361,10,37,10,6,38,24,1
Anatomy,1091,6,455,14,3,38,17,1
Operating Systems,1682,9,353,10,9,88,12,9
Operating Systems,4862,8,172,4,5,83,18,8
Physiology,2253,1,319,8,3,88,29,4
Artificial Intelligence,355,4,453,7,7,97,29,5
Microbiology,459,14,184,8,7,97,8,9
Physiology,855,10,32,8,5,48,22,1
Social Studies,1367,8,126,13,9,53,7,6
Anatomy,3763,1,326,2,2,35,30,7
Corporate Finance,4460,8,197,8,5,93,10,8
Corporate Finance,1925,12,141,14,5,92,8,2
Compiler Design,4574,6,183,3,10,51,1,20
Social Studies,4290,13,414,11,4,59,7,5
Artificial Intelligence,330,5,469,13,9,94,30,1
Social Studies,4982,11,35,1,8,88,11,16
Geography,4607,2,198,5,10,99,21,14
Pathology,2221,8,30,13,2,98,3,2
Pathology,3764,4,123,2,9,94,16,14
Financial Accounting,4747,14,359,11,2,98,15,1
Microbiology,4584,7,384,4,7,90,25,9
Economics,4741,9,127,10,6,83,18,4
Hindi,3678,2,334,12,1,36,19,1
Physics,1091,14,140,7,3,46,6,5
DBMS,3313,12,292,12,5,61,13,2
Cost Accounting,2608,1,227,8,6,96,26,7
Data Structures,2675,9,336,12,7,62,29,1
Corporate Finance,4060,11,230,10,4,77,2,8
Compiler Design,552,9,467,14,7,88,25,1
Pathology,4999,1,420,8,8,64,9,20
Science,3831,14,243,12,6,57,9,5
Corporate Finance,3092,11,315,4,5,79,21,6
Data Structures,1986,15,435,6,4,37,18,3
Anatomy,2414,4,170,12,4,82,0,7
Mathematics,3330,12,409,7,2,85,21,1
Pathology,4135,6,402,7,8,85,23,8
Management Accounting,3508,2,178,11,5,53,23,1
Software Engineering,4707,8,33,14,2,36,29,1
Geography,2103,4,480,6,2,49,1,12
Corporate Finance,4731,1,301,12,9,53,4,17
Management Accounting,2403,14,105,10,6,78,20,1
Corporate Finance,307,8,199,6,9,98,29,4
Mathematics,4099,9,404,10,9,39,11,9
English,1825,7,174,1,1,97,24,3
DBMS,2918,6,115,11,3,77,1,6
Artificial Intelligence,2344,5,278,1,8,54,6,17
Pathology,1138,8,133,13,6,92,13,2
Science,1213,5,258,12,7,85,6,8
Machine Learning,2730,6,48,5,6,77,28,2
Pharmacology,2618,1,56,3,2,59,1,11
Science,2799,8,433,5,2,70,28,1
English,1919,10,295,14,6,82,27,1
